,Country,Activity,Age,Fatal (Y/N),Age Group,Top Species,Arm Pts,Leg Pts,Body Pts,Head Pts,Total Pts
65,BAHAMAS,Lobster fishing,26,N,Adult,bull shark,10.0,20.0,50.0,0.0,80.0
66,ECUADOR,Snorkeling,55,N,Adult,galapagos shark,0.0,0.0,0.0,0.0,0.0
67,AUSTRALIA,Surfing,20,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
68,SOUTH AFRICA,Surfing,42,N,Adult,white shark,0.0,20.0,50.0,0.0,70.0
69,USA,Swimming,44,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
70,USA,Surfing,25,N,Adult,tiger shark,10.0,20.0,0.0,0.0,30.0
71,USA,Spearfishing,27,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
72,USA,Stand-Up Paddleboarding,50,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
73,USA,Kayak Fishing,29,N,Adult,hammerhead shark,0.0,20.0,0.0,0.0,20.0
74,AUSTRALIA,Surf-skiing,62,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
75,USA,Surfing,54,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
76,USA,Surfing,21,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
77,USA,Kayak Fishing,22,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
78,USA,Spearfishing,57,N,Adult,hammerhead shark,10.0,0.0,0.0,0.0,10.0
79,AUSTRALIA,Surfing,52,N,Adult,white shark,10.0,20.0,50.0,0.0,80.0
80,AUSTRALIA,Scallop diving on hookah,46,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
81,REUNION,Surfing,45,N,Adult,bull shark,10.0,0.0,0.0,0.0,10.0
82,SOUTH AFRICA,Surfing,34,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
83,USA,Surfing,38,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
84,AUSTRALIA,Surfing,52,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
85,AUSTRALIA,Body boarding ,32,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
86,USA,Swimming,18,N,Adult,bull shark,10.0,0.0,0.0,0.0,10.0
87,SOUTH AFRICA,Body Boarding,19,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
88,SOUTH AFRICA,Surfing,23,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
89,USA,Swimming,6,N,Child,tiger shark,0.0,20.0,0.0,0.0,20.0
90,AUSTRALIA,Surfing,37,N,Adult,white shark,10.0,20.0,50.0,100.0,180.0
91,USA,Wading,16,N,Teenager,bull shark,10.0,0.0,0.0,0.0,10.0
