,Country,Activity,Age,Fatal (Y/N),Age Group,Top Species,Arm Pts,Leg Pts,Body Pts,Head Pts,Total Pts
284,USA,Scuba diving,30,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
285,USA,Fishing,35,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
286,BRAZIL,Swimming,35,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
287,USA,Surfing,28,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
288,FIJI,Surfing,21,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
289,TONGA,Swimming,24,Y,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
290,AUSTRALIA,Scuba diving,52,N,Adult,white shark,10.0,0.0,0.0,0.0,10.0
291,AUSTRALIA,Swimming,21,Y,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
292,USA,Surfing,30,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
293,USA,Swimming,29,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
294,USA,Surfing,26,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
295,USA,Surfing,36,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
296,USA,Surfing,20,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
297,USA,Surfing,22,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
298,SOUTH AFRICA,Surf-skiing,52,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
299,AUSTRALIA,Surfing,28,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
300,AUSTRALIA,Surfing,26,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
301,USA,Wading,18,N,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
302,AUSTRALIA,Surfing,40,N,Adult,white shark,10.0,20.0,0.0,0.0,30.0
303,AUSTRALIA,Scuba diving,23,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
304,USA,Surfing,37,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
305,USA,Fishing,16,N,Teenager,bull shark,0.0,20.0,0.0,0.0,20.0
306,USA,Swimming with boogie board,14,Y,Teenager,bull shark,0.0,20.0,0.0,0.0,20.0
307,SOUTH KOREA,Diving,38,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
308,USA,Surfing,17,,Teenager,white shark,0.0,20.0,0.0,0.0,20.0
309,SOUTH AFRICA,Spearfishing (Free diving),22,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
310,USA,Surfing,47,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
311,AUSTRALIA,Snorkeling,26,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
312,USA,Diving in aquarium display tank,45,N,Adult,tiger shark,10.0,0.0,0.0,100.0,110.0
313,AUSTRALIA,Swimming,18,N,Adult,bull shark,10.0,0.0,0.0,0.0,10.0
314,NEW ZEALAND,Fishing from a kayak,39,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
315,AUSTRALIA,Scurfing (surfboard being  towed behind a boat),18,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
316,AUSTRALIA,Spearfishing,38,Y,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
317,SOUTH AFRICA,Swimming,77,Y,Senior,white shark,0.0,0.0,0.0,0.0,0.0
318,USA,Surfing,38,N,Adult,white shark,10.0,20.0,0.0,0.0,30.0
319,CUBA,Diving,40,N,Adult,bull shark,10.0,0.0,0.0,100.0,110.0
320,SOUTH AFRICA,Chumming for white sharks,52,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
321,USA,Spearfishing,34,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
322,REUNION,Body boarding,15,N,Teenager,tiger shark,0.0,20.0,0.0,0.0,20.0
323,USA,Surfing,26,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
324,BRAZIL,Bathing,24,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
325,USA,Diving,50,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
326,USA,Wading / fishing & carrying a bag of fish,11,N,Child,bull shark,10.0,20.0,0.0,100.0,130.0
327,USA,Surfing,45,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
328,SOUTH AFRICA,"Swimming, poaching perlemoen",21,Y,Adult,white shark,0.0,20.0,0.0,0.0,20.0
329,BRAZIL,Swimming,17,N,Teenager,bull shark,10.0,20.0,0.0,0.0,30.0
330,USA,Surfing,57,Y,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
331,SOUTH AFRICA,Surfing,16,N,Teenager,white shark,0.0,20.0,0.0,0.0,20.0
332,USA,Surfing,20,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
333,BRAZIL,Body boarding,22,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
334,USA,Surfing,51,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
335,AUSTRALIA,Scuba diving,46,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
336,URUGUAY,Surfing,21,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
337,VENEZUELA,Spearfishing,40,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
338,SOUTH AFRICA,Spearfishing,21,Y,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
339,INDIA,Swimming or surfing,35,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
340,AUSTRALIA,Surfing,22,N,Adult,nurse shark,0.0,20.0,0.0,0.0,20.0
341,USA,Surfing,13,N,Teenager,tiger shark,10.0,0.0,0.0,0.0,10.0
342,SOUTH AFRICA,Body boarding,19,Y,Adult,white shark,0.0,20.0,50.0,0.0,70.0
343,USA,"Swimming, wearing black wetsuit & swim fins",50,Y,Adult,white shark,0.0,20.0,50.0,0.0,70.0
344,SOUTH AFRICA,Sitting on surfboard,16,N,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
345,BAHAMAS,Spearfishing,39,N,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
346,BRAZIL,Surfing,17,N,Teenager,bull shark,10.0,20.0,0.0,0.0,30.0
347,NEW ZEALAND,Scuba diving,44,N,Adult,white shark,10.0,0.0,0.0,0.0,10.0
348,AUSTRALIA,Swimming,24,N,Adult,nurse shark,0.0,20.0,0.0,0.0,20.0
349,AUSTRALIA,Swimming,84,Y,Senior,bull shark,0.0,0.0,0.0,0.0,0.0
350,AUSTRALIA,Snorkeling,18,N,Adult,hammerhead shark,10.0,0.0,0.0,0.0,10.0
351,SOUTH AFRICA,Snorkeling,25,N,Adult,white shark,10.0,0.0,0.0,100.0,110.0
352,AUSTRALIA,Swimming,23,Y,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
353,USA,Body boarding,48,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
354,BRAZIL,Swimming,36,Y,Adult,bull shark,0.0,0.0,50.0,0.0,50.0
355,BRAZIL,Swimming,19,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
356,SOUTH AFRICA,Surf skiing,47,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
357,USA,Surfing,16,N,Teenager,tiger shark,0.0,20.0,0.0,0.0,20.0
358,USA,Surfing,15,N,Teenager,nurse shark,0.0,20.0,0.0,0.0,20.0
359,UNITED KINGDOM,Diving,30,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
360,USA,Swimming,15,N,Teenager,bull shark,0.0,0.0,0.0,0.0,0.0
361,BRAZIL,Surfing,22,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
362,USA,Standing,9,N,Child,bull shark,10.0,20.0,0.0,0.0,30.0
363,USA,Surfing,24,N,Adult,white shark,0.0,20.0,50.0,0.0,70.0
364,AUSTRALIA,Scallop diving (using surface-supplied air & a POD) ,23,Y,Adult,white shark,0.0,20.0,0.0,0.0,20.0
365,BAHAMAS,Standing,43,N,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
366,USA,Body-boarding,17,N,Teenager,tiger shark,0.0,20.0,0.0,0.0,20.0
367,USA,Snorkeling,39,N,Adult,nurse shark,10.0,0.0,0.0,0.0,10.0
368,AUSTRALIA,Surfing,20,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
369,USA,Snorkeling,35,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
370,MEXICO,Body surfing,26,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
371,AUSTRALIA,,31,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
372,USA,Swimming ,28,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
373,USA,Swimming,23,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
374,USA,Swimming ,10,Y,Child,bull shark,0.0,20.0,0.0,0.0,20.0
375,BAHAMAS,Spearfishing,44,N,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
376,BAHAMAS,Spearfishing,43,N,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
377,USA,Swimming,8,N,Child,bull shark,10.0,0.0,0.0,0.0,10.0
378,USA,Spearfishing,52,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
379,SOUTH AFRICA,Surfing,26,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
380,SOUTH AFRICA,Surfing,46,N,Adult,white shark,0.0,20.0,50.0,0.0,70.0
381,AUSTRALIA,Diving (shell maintenance),28,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
382,AUSTRALIA,Swimming,52,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
383,AUSTRALIA,Swimming,49,Y,Adult,white shark,0.0,20.0,0.0,0.0,20.0
384,USA,Surfing,27,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
385,AUSTRALIA,Fishing ,31,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
386,USA,Swimming / snorkeling,56,N,Adult,tiger shark,0.0,0.0,50.0,0.0,50.0
387,AUSTRALIA,Surfing,17,Y,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
388,AUSTRALIA,Surfing,25,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
389,OKINAWA,Surfing,31,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
390,SOUTH AFRICA,Free diving,48,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
391,REUNION,Surfing,27,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
392,USA,Jumped into the water,69,Y,Senior,bull shark,0.0,0.0,0.0,0.0,0.0
393,USA,"Windsurfing, but sitting on his board",53,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
394,USA,Snorkeling,45,N,Adult,nurse shark,0.0,20.0,0.0,0.0,20.0
395,USA,Playing,12,N,Child,tiger shark,0.0,0.0,0.0,0.0,0.0
396,USA,"Spearfishing, holding mesh bag with speared fish",55,N,Adult,nurse shark,0.0,0.0,0.0,0.0,0.0
397,USA,Swimming,55,N,Adult,bull shark,10.0,0.0,50.0,0.0,60.0
398,USA,Swimming ,44,N,Adult,bull shark,10.0,0.0,0.0,100.0,110.0
399,NEW CALEDONIA,Spearfishing,35,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
400,BRAZIL,Surfing,18,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
401,USA,Swimming,51,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
402,SOUTH AFRICA,Surfing,35,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
403,USA,"Surfing, lying on surfboard",16,N,Teenager,tiger shark,10.0,0.0,0.0,0.0,10.0
404,USA,Kayaking,37,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
405,BAHAMAS,Spearfishing & holding catch,35,N,Adult,bull shark,10.0,0.0,0.0,0.0,10.0
406,SOUTH AFRICA,Surfing,42,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
407,USA,Swimming with dolphins,43,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
408,USA,Surfing,43,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
409,SOUTH AFRICA,Boogie boarding,14,Y,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
410,SOUTH AFRICA,Surfing,29,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
411,AUSTRALIA,Windsurfing,22,Y,Adult,white shark,0.0,0.0,50.0,0.0,50.0
412,BRAZIL,Surfing,21,N,Adult,tiger shark,10.0,20.0,0.0,0.0,30.0
413,REUNION,Swimming after being swept into sea by a large wave,52,Y,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
414,AUSTRALIA,Surfing,35,N,Adult,tiger shark,10.0,0.0,0.0,100.0,110.0
415,MAURITIUS,Spearfishing,47,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
416,SOUTH AFRICA,Spearfishing,30,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
417,SOUTH AFRICA,Surfing,18,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
418,USA,Swimming,9,Y,Child,tiger shark,0.0,0.0,0.0,0.0,0.0
419,USA,Surfing,32,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
420,BRAZIL,Surfing,22,Y,Adult,white shark,10.0,0.0,0.0,100.0,110.0
421,USA,Boogie boarding,16,N,Teenager,white shark,0.0,20.0,50.0,0.0,70.0
422,SOUTH AFRICA,Surfing (or body boarding),19,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
423,SOUTH AFRICA,Spearfishing,24,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
424,AUSTRALIA,Free diving for abalone,26,Y,Adult,white shark,0.0,20.0,0.0,0.0,20.0
425,SOUTH AFRICA,Body Boarding,20,Y,Adult,white shark,10.0,0.0,0.0,0.0,10.0
426,SOUTH AFRICA,Body boarding,15,N,Teenager,white shark,10.0,0.0,0.0,0.0,10.0
427,SOUTH AFRICA,Body boarding,22,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
428,USA,Surfing (lying prone on his board),50,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
429,USA,Scuba diving,16,N,Teenager,nurse shark,0.0,0.0,50.0,0.0,50.0
430,SOUTH AFRICA,Snorkeling  hunting crayfish and abalone,33,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
431,SOUTH AFRICA,Spearfishing,39,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
432,AUSTRALIA,Scuba diving (submerged riding a scooter),42,N,Adult,white shark,10.0,0.0,0.0,0.0,10.0
433,AUSTRALIA,Surf-skiing,51,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
434,USA,Body boarding or surfing,19,N,Adult,tiger shark,10.0,20.0,0.0,0.0,30.0
435,USA,Surfing (sitting on his board),29,N,Adult,white shark,10.0,20.0,0.0,0.0,30.0
436,MEXICO,SCUBA diving,33,Y,Adult,tiger shark,10.0,20.0,0.0,0.0,30.0
437,EGYPT,Fishing,16,Y,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
438,SOUTH AFRICA,Surfing,25,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
439,OKINAWA,Fishing for octopus,55,Y,Adult,white shark,0.0,20.0,0.0,0.0,20.0
440,FIJI,Snorkeling,47,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
441,BRAZIL,Windsurfing,22,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
442,AUSTRALIA,Scuba diving,30,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
443,AUSTRALIA,Windsurfing,41,Y,Adult,tiger shark,0.0,0.0,50.0,0.0,50.0
444,USA,Surfing,45,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
445,USA,Surfing,22,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
446,USA,Surfing,31,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
447,NEW ZEALAND,Diving for abalone,23,N,Adult,white shark,10.0,0.0,50.0,0.0,60.0
448,SOUTH AFRICA,Spearfishing,29,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
449,USA,Body Boarding,19,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
450,USA,Free diving for abalone,36,N,Adult,white shark,10.0,0.0,50.0,100.0,160.0
451,USA,Wade fishing,21,N,Adult,hammerhead shark,0.0,0.0,50.0,0.0,50.0
452,OKINAWA,Swimming,52,Y,Adult,white shark,10.0,0.0,50.0,100.0,160.0
453,SOUTH AFRICA,Surfing,17,N,Teenager,white shark,0.0,20.0,0.0,0.0,20.0
454,AUSTRALIA,Swimming breast stoke,47,N,Adult,tiger shark,10.0,20.0,0.0,0.0,30.0
455,USA,Swimming in fish tank,32,N,Adult,nurse shark,10.0,0.0,0.0,0.0,10.0
456,USA,Wading,33,N,Adult,nurse shark,0.0,20.0,0.0,0.0,20.0
457,USA,Swimming with mask & snorkel,53,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
458,REUNION,Surfing,25,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
459,NEW ZEALAND,"Diving, gathering shellfish",22,N,Adult,white shark,0.0,20.0,50.0,0.0,70.0
460,USA,Windsurfing,25,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
461,USA,Scuba diving,25,Y,Adult,bull shark,0.0,0.0,50.0,0.0,50.0
462,AUSTRALIA,Abalone diving using Hookah (near calving whales),29,Y,Adult,white shark,10.0,0.0,0.0,100.0,110.0
463,USA,Abalone diving using Hookah (resting on the surface),32,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
464,USA,Scuba diving (ascending using scooter),31,N,Adult,white shark,10.0,20.0,50.0,100.0,180.0
465,USA,Swimming,38,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
466,HONG KONG,Swimming,45,Y,Adult,tiger shark,10.0,20.0,0.0,100.0,130.0
467,USA,Surfing,15,N,Teenager,bull shark,0.0,20.0,0.0,0.0,20.0
468,JAPAN,Scuba diving for bivalves,47,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
469,SOUTH AFRICA,Swimming,14,Y,Teenager,tiger shark,10.0,20.0,0.0,0.0,30.0
470,SOUTH AFRICA,Body boarding,26,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
471,USA,Commercial diver (submerged or treading water),42,Y,Adult,white shark,0.0,20.0,0.0,100.0,120.0
472,USA,Surfing,43,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
473,REUNION,Windsurfing,24,Y,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
474,SOUTH AFRICA,Surfing,22,Y,Adult,white shark,0.0,20.0,0.0,0.0,20.0
475,SOUTH AFRICA,Surfing,31,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
476,CHILE,Swimming alongside NOAA research vessel Discoverer,19,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
477,SOUTH AFRICA,Surfing,15,N,Teenager,white shark,0.0,20.0,0.0,0.0,20.0
478,AUSTRALIA,Hookah diving,27,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
479,USA,Surfing,26,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
480,USA,Swimming,26,N,Adult,bull shark,10.0,20.0,0.0,0.0,30.0
481,USA,Kayaking,34,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
482,SOUTH AFRICA,Spearfishing,36,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
483,EL SALVADOR,Surfing,15,N,Teenager,white shark,0.0,20.0,0.0,0.0,20.0
484,USA,Riding floatation device,19,N,Adult,bull shark,0.0,20.0,50.0,0.0,70.0
485,USA,Free diving for abalone (ascending),39,N,Adult,white shark,0.0,0.0,0.0,100.0,100.0
486,SOUTH AFRICA,Surfing,28,N,Adult,white shark,0.0,0.0,50.0,0.0,50.0
487,USA,Paddling on surfboard or body board,22,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
488,AUSTRALIA,Scuba diving,31,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
489,AUSTRALIA,Scuba diving at seal colony,34,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
490,USA,Paddling on surfboard,35,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
491,USA,Free diving & spearfishing (ascending),55,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
492,USA,Surfing,29,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
493,USA,"Standing in waist-deep water, helping his father tend a gill net containing dead fish",10,N,Child,tiger shark,0.0,20.0,0.0,0.0,20.0
494,USA,Lying on surfboard,30,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
495,USA,Kayaking,46,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
496,FIJI,Scuba diving,30,N,Adult,hammerhead shark,10.0,0.0,0.0,0.0,10.0
497,USA,Body boarding,18,Y,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
498,USA,Hookah diving for sea urchins,40,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
499,USA,Surfing,28,N,Adult,tiger shark,10.0,0.0,50.0,0.0,60.0
500,AUSTRALIA,Surfing,28,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
501,USA,Surfing,20,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
502,AUSTRALIA,Surfing,17,N,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
503,USA,Surfing,22,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
504,USA,Snorkeling,26,N,Adult,nurse shark,0.0,0.0,0.0,0.0,0.0
505,REUNION,Surfing,16,Y,Teenager,bull shark,0.0,0.0,0.0,0.0,0.0
506,USA,"Surfing, paddling seawards",36,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
507,JAPAN,Hookah diving for pen shells ,41,Y,Adult,white shark,0.0,0.0,50.0,0.0,50.0
508,USA,Surfing (sitting on his board),21,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
509,USA,Hookah diving for sea urchins,25,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
510,USA,Snorkeling,41,Y,Adult,tiger shark,10.0,20.0,50.0,100.0,180.0
511,USA,Surfing,32,N,Adult,white shark,10.0,0.0,50.0,0.0,60.0
512,AUSTRALIA,Scuba diving,19,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
513,ITALY,Canoeing,40,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
514,REUNION,Surfing,30,N,Adult,tiger shark,10.0,0.0,0.0,0.0,10.0
515,USA,Surfing,32,N,Adult,white shark,10.0,20.0,0.0,100.0,130.0
516,HONG KONG,Swimming ,65,Y,Senior,tiger shark,0.0,20.0,50.0,0.0,70.0
517,AUSTRALIA,Scuba diving,18,N,Adult,nurse shark,10.0,20.0,0.0,0.0,30.0
518,USA,Surfing,38,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
519,SOUTH AFRICA,Spearfishing,20,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
520,USA,Surfing,43,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
521,SOUTH AFRICA,Spearfishing,26,N,Adult,white shark,10.0,0.0,0.0,0.0,10.0
522,USA,"Free diving / spearfishing, from paddleboard & floating on the surface",49,N,Adult,white shark,0.0,0.0,0.0,100.0,100.0
523,USA,Kayaking,44,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
524,USA,Surfing,22,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
525,SOUTH AFRICA,Scuba diving (but on surface),21,Y,Adult,white shark,0.0,20.0,0.0,0.0,20.0
526,SOUTH AFRICA,Resting on surfboard,22,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
527,SOUTH AFRICA,Lying on surfboard & paddling,23,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
528,AUSTRALIA,Surfing,31,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
529,AUSTRALIA,,17,UNKNOWN,Teenager,tiger shark,0.0,0.0,0.0,0.0,0.0
530,AUSTRALIA,Surfing,32,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
531,SOUTH AFRICA,Free diving & spearfishing,29,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
532,AUSTRALIA,Surfing,17,N,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
533,SOUTH AFRICA,Free diving,29,N,Adult,white shark,0.0,0.0,50.0,0.0,50.0
534,USA,Hookah diving for abalone (descending),38,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
535,AUSTRALIA,Feeding fish,30,N,Adult,nurse shark,0.0,20.0,0.0,0.0,20.0
536,SOUTH AFRICA,Surfing,21,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
537,AUSTRALIA,Fishing for sharks,41,N,Adult,white shark,10.0,0.0,0.0,0.0,10.0
538,SOUTH AFRICA,Surfing,34,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
539,USA,Spearfishing,45,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
540,SOUTH AFRICA,Surfing,16,N,Teenager,white shark,0.0,0.0,0.0,0.0,0.0
541,SOUTH AFRICA,Free diving,28,N,Adult,white shark,10.0,0.0,0.0,100.0,110.0
542,AUSTRALIA,Surfing,27,Y,Adult,white shark,0.0,20.0,0.0,0.0,20.0
543,ITALY,"Scuba diving, but swimming on surface",47,Y,Adult,white shark,0.0,0.0,50.0,0.0,50.0
544,USA,Kayaking,24,Y,Adult,white shark,10.0,20.0,0.0,0.0,30.0
545,USA,Body boarding,10,N,Child,hammerhead shark,0.0,20.0,0.0,0.0,20.0
546,AUSTRALIA,Surfing with dolphins,17,N,Teenager,tiger shark,0.0,0.0,50.0,0.0,50.0
547,USA,Surfing (sitting on his board),21,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
548,USA,Snorkeling,38,Y,Adult,bull shark,10.0,20.0,0.0,0.0,30.0
549,USA,Surfing,27,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
550,SOUTH AFRICA,Spearfishing,36,N,Adult,white shark,10.0,0.0,0.0,0.0,10.0
551,USA,Scuba diving,42,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
552,Fiji,Diving,22,N,Adult,tiger shark,10.0,0.0,50.0,0.0,60.0
553,SOUTH AFRICA,Spearfishing,21,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
554,AUSTRALIA,Scuba Diving for scallops,47,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
555,SOUTH AFRICA,Surfing,24,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
556,USA,Surfing (sitting on his board),40,N,Adult,white shark,10.0,0.0,0.0,0.0,10.0
557,SOUTH AFRICA,Spearfishing,30,N,Adult,white shark,10.0,0.0,0.0,0.0,10.0
558,SOUTH AFRICA,Body boarding,21,Y,Adult,white shark,0.0,20.0,0.0,0.0,20.0
559,USA,Free diving  & spearfishing (submerged),27,N,Adult,white shark,10.0,0.0,0.0,100.0,110.0
560,USA,Surfing,28,N,Adult,bull shark,10.0,0.0,0.0,0.0,10.0
561,SOUTH AFRICA,Surfing,21,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
562,SOUTH AFRICA,Body boarding,22,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
563,USA,Body boarding,33,N,Adult,tiger shark,10.0,0.0,0.0,100.0,110.0
564,USA,Wading,13,N,Teenager,hammerhead shark,0.0,0.0,0.0,0.0,0.0
565,USA,Playing in knee-deep water,10,N,Child,tiger shark,0.0,0.0,0.0,0.0,0.0
566,ITALY,Snorkeling,13,N,Teenager,white shark,0.0,20.0,0.0,0.0,20.0
567,AUSTRALIA,Free diving for scallops,33,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
